"token"	"begin"	"end"	"clauseAdverbDegree"	"clauseAdverbPred"	"clauseHasTmod"	"clauseNumMod"	"depRel0"	"depRel1"	"depRel2"	"depRel3"	"depRel4"	"predicate_lemma"	"predicate_pos"	"predicate_sense0"	"predicate_sense1"	"predicate_sense2"	"predicate_sense3"	"predicate_senseTop"	"predicate_wnGranularity"	"predicate_wnLexicalFilename"	"verb_coarseTense"	"verb_lemma"	"verb_perfect"	"verb_pos"	"verb_progressive"	"verb_tense"	"verb_voice"
"waiting"	"2114"	"2121"	"none"	"none"	"false"	"0"	"vmod"	"prep_of"	"conj_and"	"prep_in"		"wait"	"VBG"					"02637938-V"	"0"	"verb.stative"	"none"	"wait"	"false"	"VBG"	"false"	"other"	"unknown"
"decreased"	"2173"	"2182"	"none"	"none"	"false"	"0"						"decrease"	"VBN"	"00151689-V"	"00169651-V"			"00109660-V"	"2"	"verb.change"	"present"	"decrease"	"true"	"VBN"	"false"	"pres_perf"	"active"
"are"	"2196"	"2199"	"none"	"none"	"true"	"1"	"parataxis"					"be"	"VBP"					"02604760-V"	"0"	"verb.stative"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"are"	"2249"	"2252"	"none"	"none"	"false"	"0"	"dep"	"nsubj"	"parataxis"			"be"	"VBP"					"02604760-V"	"0"	"verb.stative"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"is"	"2378"	"2380"	"none"	"none"	"false"	"0"	"cop"					"one"	"CD"								"present"	"be"	"false"	"VBZ"	"false"	"pres"	"active"
"alleviate"	"2425"	"2434"	"none"	"none"	"false"	"0"	"advcl"					"alleviate"	"VB"	"00064095-V"	"00205885-V"			"00126264-V"	"2"	"verb.body"	"none"	"alleviate"	"false"	"VB"	"false"	"infinitif"	"active"
"become"	"2467"	"2473"	"none"	"alleviate"	"false"	"1"						"become"	"VBN"	"00149583-V"	"00146138-V"			"00109660-V"	"2"	"verb.change"	"present"	"become"	"true"	"VBN"	"false"	"pres_perf"	"active"
"have"	"2568"	"2572"	"none"	"none"	"false"	"0"	"advcl"	"dep"	"xcomp"			"have"	"VBP"					"02203362-V"	"0"	"verb.possession"	"present"	"have"	"false"	"VBP"	"false"	"pres"	"active"
"average"	"2596"	"2603"	"none"	"have"	"false"	"1"	"dep"	"xcomp"				"average"	"VBP"	"02645389-V"	"02645007-V"			"02604760-V"	"2"	"verb.stative"	"present"	"average"	"false"	"VBP"	"false"	"pres"	"active"
"created"	"2668"	"2675"	"none"	"criticize"	"false"	"1"						"create"	"VBN"					"01617192-V"	"0"	"verb.creation"	"present"	"create"	"true"	"VBN"	"false"	"pres_perf"	"passive"
"criticized"	"2764"	"2774"	"none"	"none"	"false"	"0"	"advcl"					"criticize"	"VBN"	"00826509-V"	"01058574-V"	"01020005-V"	"01009240-V"	"00940384-V"	"4"	"verb.communication"	"present"	"criticize"	"true"	"VBN"	"false"	"pres_perf"	"passive"
"are"	"2814"	"2817"	"none"	"none"	"false"	"0"	"cop"					"chinese"	"NNPS"	"06929742-N"	"06929618-N"	"06930934-N"	"06904171-N"	"00001740-N"	"7"	"noun.communication"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"are"	"2840"	"2843"	"none"	"none"	"false"	"0"	"cop"					"cantonese"	"NN"	"06930427-N"	"06929742-N"	"06929618-N"	"06930934-N"	"00001740-N"	"8"	"noun.communication"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"born"	"2855"	"2859"	"none"	"none"	"false"	"0"	"vmod"					"bear"	"VBN"	"02630871-V"				"02630189-V"	"1"	"verb.stative"	"none"	"bear"	"false"	"VBN"	"false"	"other"	"unknown"
"are"	"2905"	"2908"	"none"	"none"	"false"	"0"	"conj_but"					"be"	"VBP"					"02604760-V"	"0"	"verb.stative"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"is"	"2952"	"2954"	"none"	"none"	"false"	"0"						"be"	"VBZ"					"02604760-V"	"0"	"verb.stative"	"present"	"be"	"false"	"VBZ"	"false"	"pres"	"active"
